02/19/2018,Blush,15-1614,#D0959E,imaginative,instinctive,knowledgeable
02/21/2018,Lavender Mist,16-3307,#B091AA,writer,creative,emotional
02/25/2018,Sweet Lavender,16-3931,#9B9DC7,private,humanitarian,dedicated
03/03/2018,Rose Tan,16-1511,#CF9693,mentally active,communicator,imaginative
03/04/2018,Reseda,15-6414,#A2B292,spiritual,private,productive
03/10/2018,Mellow Green,12-0426,#D3D78E,kind,deep,talented
03/11/2018,Winter Sky,14-4307,#A6C0CD,talented,aesthetic,resourceful
03/11/2018,Winter Sky,14-4307,#A6C0CD,talented,aesthetic,resourceful
03/15/2018,Cashmere Blue,14-4115,#A2B8D4,sweet,sensual,smart
03/17/2018,Violet Tulle,16-3416,#C693C7,exciting,powerful,seductive
03/18/2018,Muted Clay,16-1330,#D19584,profound,healer,spiritual
03/21/2018,Basil,16-6216,#829F82,innovative,expressive,originator
03/22/2018,Purple Ash,17-3810,#8C8397,stylish,proud,dynamic
03/23/2018,Storm Blue,17-4716,#447B8C,perceptive,talented,quick minded
03/24/2018,Mauvewood,17-1522,#AB5C6D,loving,romantic,artistic
03/25/2018,Berry Conserve,18-3013,#724B66,healer,independent,performer
03/27/2018,Bruschetta,18-1346,#AD584D,negotiator,friendly,courageous
03/28/2018,Sierra,18-1239,#9B5E45,thinker,hard worker,activist
03/29/2018,Oil Blue,17-5111,#638E8B,interesting,charismatic,seductive
03/30/2018,Faded Rose,18-1629,#BA6364,storyteller,thinker,messenger
03/31/2018,Jacaranda,17-3930,#8690CB,capable,kind,instinctive
04/01/2018,Fiery Red,18-1664,#D12631,enterprising,visionary,leader
04/02/2018,Rapture Rose,17-1929,#CD657F,sensual,resourceful,dramatic
04/03/2018,Cherry Tomato,17-1563,#E34132,expressive,giving,communicator
04/04/2018,True Red,19-1664,#BC243C,practical,industrious,persistent
04/05/2018,Orange.Com,18-1561,#D5392C,dynamic,charismatic,determined
04/06/2018,Beetroot Purple,18-2143,#CB2F70,imaginative,magnetic,explorative
04/07/2018,Skyway,14-4112,#ACC0D9,spiritual,confident,aesthetic
04/08/2018,Ski Patrol,18-1761,#B5123F,deep,stimulating,powerful
04/09/2018,Poppy Red,17-1664,#DB3844,persuasive,enthusiastic,easy-going
04/09/2018,Poppy Red,17-1664,#DB3844,persuasive,enthusiastic,easy-going
04/09/2018,Poppy Red,17-1664,#DB3844,persuasive,enthusiastic,easy-going
04/10/2018,Vermillion Orange,16-1362,#FC6336,childlike,relentless,unusual
04/11/2018,Sangria,19-2047,#9D3158,intuitive,theatrical,intelligent
04/15/2018,Cerise,19-1955,#9F1F4C,seductive,sensitive,organized
04/16/2018,Virtual Pink,18-1856,#C51554,explorer,restless,spiritual
04/19/2018,High Risk Red,18-1763,#C81D31,eloquent,performer,ambitious
04/25/2018,Azure Blue,17-4139,#458AC6,soulful,charismatic,intense
04/05/2019,Orange.Com,18-1561,#D5392C,dynamic,charismatic,determined
04/07/2019,Skyway,14-4112,#ACC0D9,spiritual,confident,aesthetic
04/07/2019,Skyway,14-4112,#ACC0D9,spiritual,confident,aesthetic
